date,server_id,environment,region,cpu_usage,memory_usage,disk_usage,network_in_mb,network_out_mb,requests_per_min,active_users,response_time_ms,error_rate_percent
2024-01-01,app-server-01,production,ap-south-1,25.64,40.45,36.51,123.73,91.28,691,145,254.28,0.45
2024-01-01,app-server-02,production,ap-south-1,25.29,39.09,34.12,106.68,99.28,683,136,244.83,0.55
2024-01-02,app-server-01,production,ap-south-1,26.56,41.71,37.16,119.79,96.8,567,156,244.52,0.3
2024-01-02,app-server-02,production,ap-south-1,29.03,36.07,35.01,104.51,93.97,660,150,243.25,0.62
2024-01-03,app-server-01,production,ap-south-1,25.46,39.95,32.85,113.78,101.38,711,133,221.32,0.47
2024-01-03,app-server-02,production,ap-south-1,24.73,39.19,34.66,125.01,104.67,748,140,248.51,0.64
2024-01-04,app-server-01,production,ap-south-1,29.23,38.62,33.2,115.59,93.15,827,144,237.21,0.44
2024-01-04,app-server-02,production,ap-south-1,23.22,40.26,34.26,120.96,92.73,597,154,249.11,0.43
2024-01-05,app-server-01,production,ap-south-1,24.8,41.09,30.52,125.69,93.06,607,149,242.13,0.38
2024-01-05,app-server-02,production,ap-south-1,22.14,41.47,34.45,100.7,88.27,710,170,257.18,0.39
2024-01-06,app-server-01,production,ap-south-1,22.07,37.82,30.81,121.76,98.18,647,143,231.03,0.39
2024-01-06,app-server-02,production,ap-south-1,21.25,41.08,35.24,131.16,87.66,642,161,240.02,0.46
2024-01-07,app-server-01,production,ap-south-1,24.75,39.43,36.69,132.99,101.61,754,155,225.67,0.49
2024-01-07,app-server-02,production,ap-south-1,27.08,39.93,30.53,129.99,96.57,775,152,228.94,0.49
2024-01-08,app-server-01,production,ap-south-1,24.09,40.08,32.27,122.85,90.93,627,171,249.7,0.54
2024-01-08,app-server-02,production,ap-south-1,23.05,36.86,36.34,138.78,103.63,662,167,243.78,0.4
2024-01-09,app-server-01,production,ap-south-1,31.33,40.08,35.49,103.77,94.2,763,170,246.02,0.63
2024-01-09,app-server-02,production,ap-south-1,24.27,40.39,33.44,117.28,83.79,743,150,241.67,0.47
2024-01-10,app-server-01,production,ap-south-1,27.1,40.13,36.51,117.65,103.03,749,148,230.28,0.56
2024-01-10,app-server-02,production,ap-south-1,23.08,37.43,34.57,111.4,92.05,686,152,228.41,0.28
2024-01-11,app-server-01,production,ap-south-1,26.31,42.27,38.28,129.0,85.26,695,163,244.3,0.38
2024-01-11,app-server-02,production,ap-south-1,30.32,41.13,37.12,124.04,90.2,748,151,279.61,0.42
2024-01-12,app-server-01,production,ap-south-1,19.72,35.58,37.92,137.49,85.52,791,173,245.1,0.3
2024-01-12,app-server-02,production,ap-south-1,27.44,42.96,36.24,125.15,93.27,710,157,242.86,0.46
2024-01-13,app-server-01,production,ap-south-1,23.66,42.34,31.34,101.92,108.6,650,152,237.99,0.52
2024-01-13,app-server-02,production,ap-south-1,22.3,41.13,34.42,120.4,87.49,748,159,246.19,0.37
2024-01-14,app-server-01,production,ap-south-1,25.52,38.91,33.1,131.49,101.3,799,131,235.92,0.53
2024-01-14,app-server-02,production,ap-south-1,27.33,42.16,36.95,107.24,91.89,741,170,247.6,0.64
